,comment,Sentiment,Sentiment Confidence Score
0,check out juuk is premium apple watch band use the promo code maxtech for 10percent off your order i got the qrono korza and ruby grey vitero juuk band,POSITIVE,0.68398118019104
1,how i wish i had some money for this iphone 14 pro max i have used this techno phone for the last 1 5yrs and i wish i had a macbook am a ig fan of apple co of maxtech but can not afford i will study hard to get a programming job to to get enough money by the end of next year,NEGATIVE,0.9992522597312927
2,very good review thank you for this,POSITIVE,0.9998623132705688
3,i just got an 8 and i am very happy with it the ultra is overkill for me,POSITIVE,0.9531974792480469
4,help me a lot thanks,POSITIVE,0.9995635151863098
5,john mayer sent me,POSITIVE,0.992870032787323
6,series 7 an ultra strap case,NEGATIVE,0.9224109649658203
7,the value calculation just changed for me new 41m series 8 discounted by dollar70 00 dollar329 00 purchase price on amazon series 8 fit my main requirement comfy form factor i can listen to music while running hiking and the oxygen sensor will be nice when hiking above the treeline,POSITIVE,0.9858381152153015
8,my grandma ran over my fitbit versa 2 today so looking for a replacement,NEGATIVE,0.9990007281303406
9,he make the ultra actually seem worth it,POSITIVE,0.9996628761291504
10,u know whats funny to me is the fact that i saw and had an iwatch in 2009 and the actual brand one came out first a iwatch in april 2015 thats why i always say all the best new tech is given to wealthy or company people and later through the year to the public,POSITIVE,0.9948071837425232
11,800 dollar tho thats steep,NEGATIVE,0.9980410933494568
12,i love the fact your sponsor is actually pertain to your subject matter thank you for that,POSITIVE,0.9998260140419006
13,i do not want a watch phone or anything tracking my ovulation i just want one for travel and workout i have the first apple watch which i have not used in years,NEGATIVE,0.9959446787834167
14,there is literally nothing that justifies buying the other two model over the se 2 unless you have serious health problem,NEGATIVE,0.9991087317466736
15,apple watch have pretty robust body but the battery life are very short compared to android smartphones so apple watch engineer ought to consider it and must improve lot longer battery life other wise apple watch sell might fall dramatically,NEGATIVE,0.997715950012207
16,just got the ultra love it,POSITIVE,0.9997873902320862
17,i recently purchased the ultra watch and just love it battery is amazing and screen size is nice to interact with apps definitely would recommend,POSITIVE,0.9997997879981995
18,i got the series 8 45mm for dollar329 at best buy a an open box but sealed originally bought the red it wa locked,NEGATIVE,0.9953657388687134
19,you sound like you should be on an infomercial,NEGATIVE,0.9978249073028564
20,i really want to believe this guy still talk like this in his real life like ordering starbucks in that half whisper intentionally slowed down pace,NEGATIVE,0.9978220462799072
21,a if i have dollar800 dollar on me lol,NEGATIVE,0.9904766082763672
22,can this watch send have reminder for appointment like from calendar and such,NEGATIVE,0.9305177330970764
23,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,POSITIVE,0.9748997688293457
24,i want the ultra but 900 dollar i can not justify buying that lol,NEGATIVE,0.996647298336029
25,i still have the series 1 it is still working strong but a new watch will be refreshing,POSITIVE,0.9998224377632141
26,i am considering getting the se gen 2 it seems simple and just perfect for what i need i do not need all the extra stuff they have added tbh,POSITIVE,0.9991758465766907
27,so se series 8 thicc ultra,NEGATIVE,0.9848929643630981
28,so wait which one do y all reccomend series 7 or 8,NEGATIVE,0.9994781613349915
29,tohuwabohu dislike,NEGATIVE,0.99906986951828
30,did you used to make motorcycle video,NEGATIVE,0.9046416282653809
31,oh baby yes,POSITIVE,0.9992604851722717
32,please stop yelling we can hear you,NEGATIVE,0.9925522804260254
33,great service and video thanks,POSITIVE,0.9998262524604797
34,why are all smart watch just glorified fitbits they all have like the same 11 feature and some let is you call and text that is it,NEGATIVE,0.985237181186676
35,i had a couple thing about the ultra that made me decide against buying it the biggest issue wa it is large to fit comfortably on my wrist and the watch can be a bit heavy the thing also wa the ultra wa hard to put under my long sleeve shirt i have smaller then normal hand and wrist for a man and the ultra wa just to large heavy and awkward for me being that i am retired and wanted an apple watch to monitor my heart and temperature reading i went to the series 8 41 mm i do not need cellular connection on the watch a i have my phone with me all the time i just could not justify spending another dollar120 00 a year added to my cellular plan and having a extra dollar100 00 for the watch the ultra is just not what i wanted and the se just wa not enough i also do not really have a use for the stainless model so i went with the aluminum the way to save money is also fish for the discount and by a short fishing trip over to the apple veteran and military website i found 10percent off on the site so that dollar400 00 watch wa dollar360 00 the ultra is just to much and the se not enough and the series 8 wa just right my pervious apple watch wa the original version that lasted until last month before the battery died so this wa a nice update,NEGATIVE,0.9963219165802002
36,good presentation,POSITIVE,0.9998610019683838
37,my first apple watch is the series 8 i know it is not a lot of change but it is a perfect first watch for me it is my third day having it and i adore it sm already,POSITIVE,0.9995287656784058
38,reduce your coffee intake,NEGATIVE,0.9981428384780884
39,im sold on the series 7 because it pretty cheap now and it basically the same a the s8,NEGATIVE,0.9983028173446655
40,i might get the series 6,POSITIVE,0.7568051218986511
41,i wished the ultra got a faster chip s6 chip is starting to feel slow especially when using night sky which slightly lag at time,NEGATIVE,0.999739944934845
42,tyler cost,POSITIVE,0.7242778539657593
43,i am not a smart watch person just shopping for mom what throw me off is why they have been using the same chip for so long if the battery last le than a day,NEGATIVE,0.999675989151001
44,saying the most expensive apple watch at dollar800 is the best bang for your buck doe not make this guy look good tbh 6 40 thank you for admitting this wtf do you know what bang for your buck mean 99percent of people do not go scuba diving and do not need a diving computer lol how doe this model best bang for your buck wat,NEGATIVE,0.9596182107925415
45,it would be interesting to see how the older apple watch with the apple s6 cpu perform wondering if apple intentionally slows them down to get customer to buy the new one with the rebranded cpu in them if they are all basically s6 cpu the old watch should be working perfectly fine very sus to rebrand the same chip to make it look like it is an upgrade,NEGATIVE,0.8514681458473206
46,just a quick note every new apple watch ha bt 5 3 not only the ultra like you said,NEGATIVE,0.8652539253234863
47,nice review i do disagree that the ultra is the best value ultra ha 2x battery 2x screen brightness 2x water resistance basically twice a good a the se in almost every way yet almost 3x the price plus there is definitely a market for people who would want the ultra but do not like the huge size if apple make the ultra in a smaller size and cheaper that would be a home run imo,POSITIVE,0.9327391386032104
48,price making doe not really follow a preliminary correlation with performance lol,NEGATIVE,0.9996116757392883
49,dollar700 who wear watch to check the time just look at your iphone lol i rather get newest iphone,NEGATIVE,0.9975271821022034
