,0,TextBlob (mean),Human Annotation
0,here is my dropbox referral link,0.11,0
1,thank you so helpful and so much more helpful than the video that dropbox provides,0.12,1
2,this is an excellent video thank you so much,0.14,1
3,i have two question that you might know the answer for if i use dropbox for a collection of large project file a online only file can i still open them with the associated gi software on my computer or would i need to download them locally each time the second is if you use dropbox a a back up but you also want to have a secondary and tertiary backup with physical hard drive can you download the online only file straight to the relevant back up location in the hard disc,0.16,0
4,excellent tutorial thank you,0.19,1
5,thank you that wa helpful,0.08,1
6,why you install this app and use your browser,0.11,0
7,the tutorial is on an apple computer and it doe not look the same a my dropbox on my pc,0.08,-1
8,i just watched your video on dropbox it is very helpful and you demonstrate your expertise on the subject but i found myself pausing or replaying about every 30 second it would be more effective if you slow down repeat key concept and phrase important idea in different word repetition is the engine of learning you are clearly a subject matter expert but being an expert in a subject is not the same a being the best possible teacher,0.46,0
9,hi there i am new to db love your tutorial i have a shared file atm how do i save this before the end user expires,0.11,1
10,thank you,0.11,1
11,great video you do an excellent job,0.55,1
12,so helpful thank you now to find your video on the mobile app,0.01,1
13,how to open a pdf on dropbox and edit it and save again in the ipad without downloading the pdf,0.13,0
14,awesome,0.13,1
15,i can not find drop box app tutorial anywhere on your channel you said you would,0.09,-1
16,thank you very much if i delete a file or folder on my mac will it get deleted in dropbox thank you,0.04,1
17,7 haziran 2013 dosya tesli m edi lmeli ydi postaneye gi tti m istasyona taahh tl atmak i i n bi r dropbox bi r de mektup yoluyla evraki sonra koyarim dedi m i zi n olmadi ini s yledi ler dosyayi bi ter bi tmez elden g t rd m b roya koydum,0.23,0
18,so helpful just got this a a christmas gift from my husband this video wa super helpful thank you very well made looking forward to learning more from you,0.19,1
19,this doe not help i will have to look elsewhere,0.04,1
20,great class explanation thanks,0.29,1
21,can you provide your link for the dropbox mobile app video i have difficulty sending a file a an attachment from my phone or tablet,0.24,0
22,when i open the dropbox app on my laptop no app will appear in the taskbar only win explorer is dropbox folder open up to the workspace and it naturally look very different from the view of dropbox website,0.16,-1
23,i do not see where the drop box folder to download the app where is it thank you,0.13,0
24,this wa really helpful,0.76,1
25,heard you were racist not hiring straight white people just dropped dropbox,0.2,0
26,incredible that it is so confusing if anyone ever make file sharing easy and safe they will become a millionaire overnight,0,1
27,so helpful thank you,0.04,1
28,could i have a file that is blocking dropbox i keep getting an error message,0.04,-1
29,it is amazing i gave him a leap of faith and he delivered a perfect service i got my 12 world phrase,0.14,1
30,new to using dropbox nice intro can you share of video thanks,0.2,1
31,i will be having a report next monday and i wa tasked to define what exactly is dropbox this video is really helpful i think i can make it better with this,0.21,1
32,when i send the link or share they can then use the arrow tab at the top and view all my folder and file how to let the shared folder only viewable,0.32,1
33,hi can i work on excel and word document from two different computer with dropbox so both computer can edit and update the same file,0.03,0
34,are you available online for online tutor,0.2,0
35,awesome thanks jt,0.14,1
36,thank you howfinity good job at explaining this,0.2,1
37,you talk too much,0.2,-1
38,this wa awesome i needed this,0.32,1
39,clear explanation without making any extended video,0.29,1
40,i hope the app is just a easy looking,0.13,0
41,thx teach,0.25,1
42,question how do i put existing file already on my dropbox account into a folder i have got a big bunch of video file mp4s and mov that i want to put into my created folder video can not seem to figure this out i must be missing something,0.24,0
43,absolutely brilliant tutorial ty,0.08,1
44,thank u soo much this wa simple and to the point now i am off to watch ur video on how to use on my mobile device,0.11,1
45,hello great video the additional question i need help with is file sharing sub folder i am trying to have a main folder and only let individual people have access to each sub folder for example time sheet is main folder then i have an individual folder for each employee but i do not want them each to have access to the others timesheet it seems if i give them access to the main folder there is no way to control individual access to each sub folder i hope my question make sense thank you in advance,0.52,1
46,please can you help me i have photo in my dropbox but i want to put them on a usb how do i do this and if i then delete file in dropbox will i lose them,0.09,0
47,what a fantastic lecture god bless you sir,0.22,1
48,wow too much information in one video it got so confusing because the cursor wa jumping around and you covered so many circumstance for usage,0.34,-1
49,do you provide one on one coaching,0.32,1
50,thank you so much this tutorial helped me a lot,0.17,1
51,my dropbox folder on my pc is getting very large will it still function if i move it to an external drive,0.3,
52,my experience of this company is they are underhanded and venal buyer beware,0.27,
53,dropbox is racist do not use,0.15,
54,it is very very useful,0.47,
55,thank you so soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much,0.35,
56,the one who i share filed need to be on a subscribed used or a free user,0.25,
57,video start at 3 30 skip all his talk,0.1,
58,cool,0.13,
59,great video it answered a lot of basic question for me in getting started with dropbox i have a few question hopefully they will be of help to others in similar situation 1 if i upload my macbook pro is 3tb photo library to my unlimited dropbox account will the file also use up an additional 3tb from my macbook pro is internal ssd i hope that the answer is no 2 can i open this 3tb uploaded photo library from another macbook air ipad or iphone that only ha let is say a 256gb ssd 3 if i delete this 3tb photo library from my macbook pro is ssd will it remain in dropbox and still be accessed from all my o io device including my macbook pro thank you in advance for your assistance,-0.01,
60,this is my question too did you get an answer,0.27,
61,fine,0.18,
62,great intro thank you,0.29,
63,how we recover delt email id of our client in dropbox,0.44,
64,,0.49,
65,i need the part where i move from dropbox back to desktop a folder with word document in it i put in dropbox i downloaded it then tried to move from the download file folder into document and the vlc cone showed up like it had changed to a medium file folder,0.24,
66,excellent video thank you you are a clear and helpful teacher i am adding this a a bookmark,0.29,
67,yes i need a much information a possible,0.31,
68,i accidently merged my file into a client main account and do not know how to reverse it i can not find a phone number for db support any hint,0.44,
69,,0.49,
70,do not know if you got sorted but i went to their fb page and messaged them and someone supported me from there,0.28,
71,i have uploaded a lot of video for a project is there any way to shuffle the order within the file once uploaded i can not see a way to do this thanks,0.49,
72,you can rename file with number sequence or date and number seq and sort by name,0.08,
73,there is a typo in their system but they simply can not correct it the social security office want me to put an original birth certificate original social security card original driver is license and any remaining original document that i have in a dropbox then they will get back to me the problem i have is if i put all those original document in that box and somebody break it open they have the key necessary to steal my entire life for a typo i am not going to risk somebody stealing my identity over p these office have been closed for almost 3 year with all these vaccine mandate they still will not go to work,-0.08,
74,nice presentation are we able to upload email from gmail on to dropbox thanks zev,-0.08,
75,i like it,0.1,
76,i have some noob question i deleted an ebook that i had access to because i thought i wa deleting my copy yep fortunately the author could undo my damage is there not a way for the author to keep noobs like me from doing that again,0.1,
77,do not delete thing tina,0.1,
78,thanks this ha been very helpful to me a i have not been using dropbox much in the last year or so but now have a couple of project where i need to share some file that are larger than outlook will send my only problem with dropbox is the app doe not work on my win10 machine after downloading and installing the app when i open it all i get is the file explorer box for the dropbox folder there is no place for me to log in to open dropbox i must log in from the website and then my screen look like the screen from this video,0.1,
79,2 15,0.1,
80,11 18,0.1,
81,8 16,0.1,
82,yup best tutorial video,0.1,
83,this video wa very useful thank you very much,0.1,
84,great video simple amp effective thanks,0.1,
85,12 01 2021 thank you for sharing your knowledge with people like me who are using dropbox for the first time i can not see my own comment note i wrote to a client when i shared a folder with them to download the file within the folder i am sure my comment note is in front of my eye but i can not find them could it be the way i am viewing my dropbox account,0.1,
86,i like your presentation thank you,0.1,
87,i am a newbie and still a bit confused so far this is the best tutorial video thank you,0.1,
88,ty for sharing your knowledge,0.1,
89,i love dropbox and have been using it for year a always i learned something new from you with practically every video thank you,0.1,
90,thanks for sharing video,0.08,
91,thank you,0.07,
92,another thing to keep in mind pick one that will be around in the future,0.18,
93,what about mega,0.2,
94,if i will buy idrive plan will there any limit of file link expire or it will be for lifetime until i will not delete the file from my idrive please reply it is urgent,0.12,
95,could you go over how they handle multiple user saving to the same file kinda like oedrive allows multiple people to edit a excel document at the same time,0.06,
96,how would you expect the upload and download speed to change with gigabit google fiber internet i just ran a few random speed test and had 400 900 mbps from different test site,0.01,
97,the google suite in it entirety is a pretty solid deal 2tb file storage across drive gmail and photo can go a long way the new vpn service is also very nice and easy to use i have noticed that some other service require manual upload but drive desktop application doe so in the background without any user input much like onedrive,0.28,
98,wa this video louder then your other one i would have liked a this is when a na would make more sense financially comparison e g my so and me have 5 computer between u and using time machine for the mac and macrium for the pc is crucial for u to make sure we can continue working without data loss a soon a a replacement part or replacement machine arrives or sometimes even before that just in case of hardware failure on those machine for her a a teacher it is crucial to not loose all her prepared course and test which can rack up quite the volume for me a a developer it is mostly the uninterrupted continuation of work in case of hardware failure since most of the crucial data is either on git repos or in case of documentation and project management data on other saas service what many people also seem to not know is that in the office365 family subscription every member get 1tb of cloud storage which is more then enough for most use case and i would wager a guess that a ton of people have an office365 subscription if you ever do a cloud storage v na what is the best fit for you video could you also try to find out why hdd drive are seemingly not getting cheaper nowadays is it really just that all the r amp d is in ssds and not hdds,-0.07,
99,ah yes avg one od the best malware downloading software available on the market,0.14,
100,i have microsoft 365 family which come with 1tb of storage for each user so far everything ha gone swimmingly 4 year of experience,0.12,
101,what about mega,0.12,
102,excellent review of some of the dominant provider clear and concise bearing in mind that not all platform are zero knowledge encrypted and dropbox for example openly state that it will scan user data and allow some third party to do the same using a completely independent encryption software is a necessity no matter the cloud storage provider is data security policy including compliance with request from legal authority your data will always be private,0.08,
103,thank you yep most of the big cloud name will do that great to have option such a sync surprised apple actually performs quite well there to set your own encryption though they still scan your photo for face matching etc which is interesting how they achieve that on encrypted data,0,
104,agreed on sync is poor performance when it come to speed i use it however because it us zero knowledge encryption which a a freelancer is important to protect client data if sync ever improved their speed though to the like of dropbox it would be perfect,0.51,
105,yep exactly this trade off on speed v security it seems they cap transfer speed at 40mb s which kinda suck but it is great for zero knowledge,0.08,
106,which of them ha linux client pcloud ha i use it what about others,0.01,
107,pcloud and mega have linux client i used to use a program called insync to sync my onedrive to linux but it cost dollar25 and i am not sure if it is available everywhere,0.11,
108,what happens if you lose your yubi key can you still recover the access to your data,0.31,
109,pete matheson ah gotcha,0.16,
110,always buy 2 so you have one a a backup,0.07,
111,wondering if the table behind you bow under the weight of the monitor or do you have a upright support in the middle of the desk,0.07,
112,pete matheson nice i thought it wa a ikea one that people mod with ikea drawer to each side,0.23,
113,never had any issue with my desk bowing under the weight of my monitor it is an ergodesk though,-0.04,
114,man these price are salty if you are solo user and have 10tb of data and live in nordic country i have tried backblaze and crashplan but their nearest server are in netherlands so my uploadspeed peak at 3megabits p not megabyte megabit p,0.16,
115,what about nextcloud and other self hosted alternative,0.02,
116,at 0 41 google drive 2 tb storage but at 3 44 you mention a 5 tb online file limit am i misreading something how can an online file storage limit exceed the total storage capacity thanks,-0.13,
117,yep this,0.07,
118,i think that is if you add more storage the max a single file can be is still 5tb,0.02,
119,cloud storage is excellent but security concern is always there not just for a data breach but also for what the tech giant are doing with your data i always recommend starting using an open source encryption solution cryptomator work like a charm and your data in the cloud is hyper secure and indeed just for you,0.22,
120,i have the apple icloud 2tb family plan for dollar9 99 four line then i recently added google 100g service for dollar9 99,-0.05,
121,paid review in best cloud storage no name of mega and icedrive,0.02,
122,so because i did not include your favourite it is paid it is literally sponsored by someone who ha nothing to do with cloud storage,0.2,
123,one point i believe you miss out is some provider have life time plan one pay boom thats it icrease the value significan notly for some option and is a true game changer,0.17,
124,very true i did mention that in my previous review but it made the video too long to explain so decided to cut that part this year but very valid point,0,
125,great video and coverage i have recently moved to aws deep glacier and redundancy via idrive no more google workspace,-0.01,
126,what about mega,0.1,
127,,0.67,
128,nice video but why do you accept an avg sponsorship even though in you antivirus tier list you did not put them up high,0,
129,because money,-0.44,
130,because people like avg help me continue to make all of these video for everyone to watch for free,0,
131,hey pete link re yubi key please,0.01,
132,hey pat great to see you here link added to the description and here too,-0.33,
133,can not believe those price they should be 10dollar a year you can buy a 1tb hdd for so cheap and make your server for so cheap with a raspberry,0.46,
134,really do you living in a cave,0.1,
135,not really a fair comparison with all the benefit these service give compared to a cheap hard disk that could fail or be dropped and stored in a single location,-0.03,
136,what do u think about proton drive,0.06,
137,opinion of tera box thanks for this review,-0.07,
138,do not use it it is china based,-0.07,
139,wow nice video,0.06,
140,thanks,0.06,
141,i remember back when i thought idrive wa icloud,-0.01,
142,pete matheson yup,0.06,
143,kinda confusing in name eh,0.06,
144,kindly sponsored by avg get avg home and business product here are you thinking of switching from google drive or icloud if so which one tickle your fancy,0.12,
145,i would like to see dropbox offer lifetime membership for a fixed price like pcloud doe,0.06,
146,hey when can we expect a new update in onenote please do tell is there anywhere i join a beta,-0.07,
147,all great but again mostly for business and team nothing new for age with the person who just want to access their file although search is brilliant and will easily find an object in text document and within a picture even what if i have copy of my main folder like most people would and want to now automate that a a backup so going from a manual copy each time we want to sync our dropbox folder structure to an automated one,-0.55,
148,dropbox is pretty overpriced when compared to onedrive google drive and other cloud storage provider making enterprise customer your main focus is fine but do not intentionally make a consumer product that is pretty transparently bad just to upsell people,-0.55,
149,i do not know if it is bad per se it is just that 2tb a a basic consumer plan is gross overkill for most people,-0.35,
150,yes i will prob swap to one drive although dropbox is expensive and now aimed at business and also fairly stagnant in it feature for non business people it is still very stable and work perfectly a a pc drive,0.04,
151,,0.09,
152,but how doe it work,0.1,
153,your dedication and hard work show legit and professional you are i will always recommend you for successfull recovery of my phrase,0.07,
154,it is amazing i gave him a leap of faith and he delivered a perfect service i got my 12 world phrase,0.03,
155,if you want this download from link below,0,
156,i am so thankful for this video because i now know what dropbox is and how exactly it work this will be useful to also explain everything about it to the stuff where i work,0.13,
157,have a full dropbox i do not use insta or am i a photogr i am an amateur photog however and all my instant cell pic i transfer to my computer doe this fill up drpbx actaully i do not even see the app anywhere i want to cancel it how do i unclutter the space,0.13,
158,oh i thought you are anne hathaway,0.18,
