,Prompts used for dall e,imgname
0,"""An Apple Watch user's wrist adorned with a sleek, modern watch that has a display button nestled next to a speaker icon, inviting them to experience an improved user interface."" Hyper Realistic",Dall E Image 0.png
1,"""A tiny globe spinning on the vibrant touchscreen of an Apple Watch, adorned with colorful flags representing different countries."" Hyper Realistic",Dall E Image 1.png
2,"""Imagine a giant speaker floating above an Apple Watch, with a redesigned button for activating its Action feature. How would this futuristic accessory look and function?"" Hyper Realistic",Dall E Image 2.png
3,"""An apple watch with a tiny button, barely the size of a grain of rice, resting on the tip of a finger."" Hyper Realistic",Dall E Image 3.png
4,"""An Apple Watch user glances at their wrist, mesmerized by the real-time data displayed on their device - heart rate, blood oxygen levels, and more. In the background, a striking image of a beating heart and a swirl of colorful oxygen molecules captures the essence of advanced health monitoring technology."" Hyper Realistic",Dall E Image 4.png
5,"""A tiny apple orchard grows from the wrist of a giant, yet delicate hand adorned with an intricately designed apple watch."" Hyper Realistic",Dall E Image 5.png
6,"""A sleek and modern Apple Watch proudly sits on a charging dock next to a brand new microphone and speaker accessory, perfect for taking calls and playing music on-the-go. The vibrant display on the watch face shows a caller ID and music controls, inviting the viewer to imagine the possibilities of this innovative pairing."" Hyper Realistic",Dall E Image 6.png
7,"""Show a futuristic cityscape with a person talking on their Apple Watch, surrounded by clear and crisp audio waves emanating from the device, highlighting the improved call quality through Enhance the Speaker function."" Hyper Realistic",Dall E Image 7.png
8,"""Imagine an Apple Watch with an advanced mic and speaker system that lets you take crystal-clear calls and listen to music on-the-go. What would that look like?"" Hyper Realistic",Dall E Image 8.png
9,"""An Apple watch with a never-ending battery hung on a tree branch, surrounded by lush greenery and chirping birds."" Hyper Realistic",Dall E Image 9.png
10,"""An apple tree stands tall as its branches weave into a futuristic wristwatch, powered by a system of interconnected energy sources, such as wind turbines and solar panels. A person wearing the watch smiles, knowing they are making sustainable choices with each passing second."" Hyper Realistic",Dall E Image 10.png
11,"""An apple watch sitting on a desk, with sound waves emanating from its built-in speaker, appearing as if they're blowing away nearby objects."" Hyper Realistic",Dall E Image 11.png
12,"""An apple orchard spread out over rolling hills, with sleek Apple watches nestled in the center of each juicy red fruit."" Hyper Realistic",Dall E Image 12.png
13,"""A cartoon apple wearing an Apple Watch, desperately searching for a charging station amidst a sea of dead batteries."" Hyper Realistic",Dall E Image 13.png
14,"""A person wearing an apple watch with ultra-brightness feature hiking in the mountains at dusk, the watch illuminating their path while the stars twinkle above."" Hyper Realistic",Dall E Image 14.png
15,"""A miniature apple watch with a holographic display, projecting a vibrant digital world around the wrist. Dall-e captures the futuristic essence, incorporating surreal elements like floating icons and neon hues to inspire creativity and imagination."" Hyper Realistic",Dall E Image 15.png
16,"""Create an image of a miniature robotic hand holding a green battery that is being inserted into the side of an Apple Watch, as a solution for improving its battery life."" Hyper Realistic",Dall E Image 16.png
17,"""An Apple Watch with a constantly glowing screen showcases a colorful digital garden, complete with blooming flowers and fluttering butterflies, all magically contained within the confines of the watch face."" Hyper Realistic",Dall E Image 17.png
18,"""A tiny apple watch powered by a towering battery, nestled in greenery amidst a bustling cityscape."" Hyper Realistic",Dall E Image 18.png
19,"""Show a futuristic scene where a user is wearing an Apple Watch with a display that shines brightly, powered by renewable energy sources in the background – a world where every tap and swipe is sustainable."" Hyper Realistic",Dall E Image 19.png
